"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"América Latina y el Acuerdo de París: sentando las bases para una gobernanza transnacional efectiva (Coyuntura)","https://scispace.com/paper/america-latina-y-el-acuerdo-de-paris-sentando-las-bases-para-2ul6549yfm","2015","","","Alicia Guzmán León","","https://scispace.com/pdf/america-latina-y-el-acuerdo-de-paris-sentando-las-bases-para-2ul6549yfm.pdf","Between 2010 and 2013, Latin America became indebt with six dollars for each dollar that had received as a donation for climate projects. New data (2013-2014) given by the Organization for Economic Co-operation and Development (OECD), showed that this relation has decreased to 3.6 dollars of credit for each dollar that has been donated. However, the omission of the contributions of developing countries persists in the source of information, so the amplitude of the financing gap is still unknown, as well as who is assuming the bill for the mitigation and adaptation of the phenomenon. This article examines the financial climate flows to the region, between 2010 and 2013, and the resources for the REDD+ mechanism. The aim is to draw the prevailing governance model in the region and to establish recommendations vis-a-vis the new Protocol.","OECD-DAC,""Loan Concessionality in DAC Statistics"" (2013). ‹http://www.oecd.org/officialdocuments/publicdisplaydocumentpdf/?cote=DCD/DAC%282013%292&docLanguage=En›. Seguimiento y transparencia de las finanzas:
 (0,01%), transporte (36%) y, turismo (1.27%). Las tres cuartas partes están concentradas en energía y transporte. Los niveles de endeudamiento difieren de país a país. Sin embargo, las dos terceras partes de los países latinoamericanos cubren sus programas para el clima, con créditos que representan entre el 80 y 100% de su presupuesto total para el clima. El gráfico 2 incluye información desagregada para 16 países de América Latina, se han excluido los países caribeños. El objetivo es evidenciar a nivel individual la preponderancia del crédito frente a las donaciones en LAC. Seguimiento y transparencia de las finanzas:
 Cabe destacar que existe un grupo de 49 proyectos para América del Sur que son 100% donación y aunque sus montos bordean el 0,5% del total son un esfuerzo regional para el cambio climático. Solo Guyana (74%) y Bolivia (56%) han logrado que sus fuentes de financiamiento mayoritarias sean donaciones. Uruguay y Venezuela dependen al 99% de créditos, seguidos por Argentina (97%), Chile (96%), Costa Rica (97%) y México (96%). De cerca están Ecuador (93%), Panamá (91%), Paraguay (90%) y Colombia (89%). Aunque Brasil y México son los países receptores mayoritarios para la región, con 19 y 11% del total respectivamente, ni su tamaño ni (mega) biodiversidad y resultados en reducción en emisiones han apalancado mayores donaciones. De esta forma, la carga del financiamiento para el cambio climático en América Latina queda en los hombros de los países de la región y no de los países desarrollados. REDD+ y la Cooperación Internacional:
 Uno de las debilidades de REDD+ es el acceso a información fidedigna sobre las inversiones, llámense donaciones, créditos o inversiones privadas. El problema radica en la falta de sistematización de la información. Aunque incompleta por no incluir los aportes de los países en desarrollo, la base de la OCDE DAC logra institucionalizar la entrega de información periódica de todos sus miembros y otras instituciones financieras internacionales -IFI-. Sin embargo, al no especificar el mecanismo al que hace referencia, el seguimiento o evaluación de los mecanismos se vuelven tareas titánicas."
"Exploring Potential Data Sources for Estimating Private Climate Finance","https://scispace.com/paper/exploring-potential-data-sources-for-estimating-private-3j3xun6lv3","2014","Report Series","Research Papers in Economics","Randy Caruso
Raphaël Jachnik","10.1787/5JZ15QWZ4HS1-EN","https://scispace.com/pdf/exploring-potential-data-sources-for-estimating-private-3j3xun6lv3.pdf","The paper reviews a number of commercial and public data sources to examine their potential for
increasing coverage and understanding of the volume and characteristics of private climate finance beyond
renewable energy projects. Such information is needed to assess progress towards the global transition to
low-carbon, climate-resilient economies, as well towards the fulfilment of international commitments by
developed countries under the United Nations Framework Convention on Climate Change.
The data sources investigated in this analysis are evaluated across four areas relating to their: (i) use
of sectoral classification systems; (ii) coverage of private finance transactions and instruments;
(iii) definitions and methods for categorising finance as private and identifying its geographic origin; and
(iv) data access restrictions and methodological transparency. To provide a frame of reference, the paper
distils corresponding definitions and methodologies used by key known data sources for tracking climatespecific
finance as well as investments and finance more broadly...","transparency on definitions (metadata) or data collection and quality control methods. Further efforts by official statistics offices as well as non-governmental actors to collect and publicly disclose policy-relevant data could provide a more transparent and widely accessible alternative to pay-for databases. Tracking the global transition to low-carbon, climate-resilient economies:
 Preliminary research highlights some value added by the data sources reviewed. This includes supporting a possible broad scaling of climate-relevant private finance through tracking a number of financial instruments and transactions, as well as in better capturing ""upstream"" public financing of funds and enterprises playing a role in ""downstream"" private financing of specific projects. The volume of transactions into sectors beyond renewable-energy in the datasets reviewed could improve knowledge of overall private flows into additional climate-relevant sectors although, as highlighted, the issue of undisclosed transaction values poses limitations. However, it is unclear at this stage to what degree of comprehensiveness and accuracy climate-specific flows can be isolated within these overall flows. Tracking the global transition to low-carbon, climate-resilient economies:
 In the context of tracking global transition to LCCR economies, issues surrounding the attribution of flows to specific geographies and actors could be put aside, at least initially, in order to deal with the first order question of estimating overall LCCR finance. To help address specific challenges identified within this report, potential technical solutions proposed earlier, such as the use of different types of proxy methods, could be further explored and pilot tested to start advancing the current state of knowledge in this area. As progress is made on underlying technical and methodological issues, these estimates would improve over time and gradually narrow down towards more climate-specific transactions. From the perspective of more accurate measurement of climate finance, such progress can be complemented by parallel increased efforts to collect primary private climate finance data e.g. public finance institutions monitoring and reporting private co-financing and/or mobilisation for the climate projects they finance. 3.2:
 Tracking climate finance under the UNFCCC Within the context of the UNFCCC, data requirements range from broad information needs for conducting the Biennial assessment and overview of financial flows to those required for the MRV of climate finance support to developing country Parties. The information needs of the biennial assessment (e.g. ""information on the geographical and thematic balance of such flows"") relates closely to the broader context discussed above (UNFCCC, 2011). 3.2:
 The scope of tracking progress towards the USD 100bn commitment, however, is narrower than that of measuring total global climate finance. This is clearly the case in terms of geographic scope as, for instance, inflows to and domestic climate finance in developed countries is not considered. Political consensus and definitions under the Convention are still lacking in terms of the specific types of finance (private in particular) and financial instruments that are to be included in accounting for the mobilisation of the USD 100bn commitment. Enhanced transparency and data on past and current levels of climate finance (including private) could participate in facilitating such a consensus being reached."
"Rebooting a failed promise of climate finance","https://scispace.com/paper/rebooting-a-failed-promise-of-climate-finance-4v90rjpr6z","2021","Journal Article","Nature Climate Change","J. Timmons Roberts
Romain Weikmans
Stacy-ann Robinson
David Ciplet
Mizan R. Khan
Danielle Falzon","10.1038/S41558-021-00990-2","https://scispace.com/pdf/rebooting-a-failed-promise-of-climate-finance-4v90rjpr6z.pdf","The 2009 pledge to mobilize US$100 billion a year by 2020 in climate finance to developing nations was not specific on what types of funding could count. Indeterminacy and questionable claims make it impossible to know if developed nations have delivered; as 2020 passes, opportunity exists to address these failures in a new pledge.",". In contrast to the recent OECD 2020 report, Oxfam estimated only US$19-22.5 billion in public finance specifically targeting climate action from 2017-2018, a third of what was reported by developed countries . Accounting differently:
 The huge differences in numbers are mostly linked to three issues (Fig. ). First, most developed countries count all financial instruments (loans, grants, investments, insurance) at face value in their reporting to the UNFCCC  . This means that a US$50 million loan appears equal to a grant of US$50 million in spite of the fact that US$60 million or more might have to be repaid on even 'concessional loans' (that is, loans that are extended on terms more generous than market loans), and such repayments would not be counted against the original flows 5,6 . Accounting differently:
 Second, bilateral and multilateral funding flows have been screened by completely different methods for whether they target climate objectives and should therefore count towards the annual US$100 billion per year pledge. The OECD Rio Marker system, where governments self-categorize their projects as either 'principally' or 'significantly' climate-related  , was especially problematic. These Rio Markers for climate change mitigation and adaptation have been refined over the years but were often unevenly applied by donors  . Each member nation continues to use a different factor by which they scale the amount of a project they count if a project just lists climate as one aim, versus being its principal objective -these vary from 0% all the way to 100%  . Meanwhile, multilateral development banks developed their own categorization system  , and accounting methodologies used by some countries have changed over time, complicating any assessment of trends. Accounting differently:
 Third, the long-standing issue of whether funds are 'new and additional' , as has been promised since 1992, has not been resolved. The diversion of development assistance, which was previously used for education and health to areas that count as climate finance, for example, would be funding reallocated rather than increased. Substantial controversies persist on the issue. Managing the funds:
 The funds promised in Copenhagen were expected by developing countries to be   ). The COVID-19 pandemic has further reduced climate finance delivery  ; thus, this trend will continue or may worsen. There is no centralized body with the capability to ensure that private finance reaches countries most in need, or responds effectively to priorities such as climate adaptation and damages beyond repair ('loss and damage')  . The recent OECD report reveals that in fact only 3% of mobilized private finance is helping poor countries adapt to climate impacts  . Rather, and as widely foreseen, private investments go where money is to be made or emissions reductions can be counted."
"Climate Finance and Its Role towards the Transition to Low-Carbon, Climate-Resilient Development in Ethiopia","https://scispace.com/paper/climate-finance-and-its-role-towards-the-transition-to-low-h09e4fobmk","2019","Posted Content","","Dendir Z","10.20944/PREPRINTS201903.0058.V1","https://scispace.com/pdf/climate-finance-and-its-role-towards-the-transition-to-low-h09e4fobmk.pdf","Achieving and sustaining stability for economic growth remain the greatest and most immediate development challenge for Ethiopia. For natural resource-based economies especially maintaining stability and growth depends fundamentally upon climate change adaptation and mitigation. The close links between climate and Ethiopia’s economy are reflected by the strong relationship between GDP growth rate and rainfall variability. A study by the World Bank projects that unless steps to build resilience are effective, climate change will reduce Ethiopia’s GDP growth by between 0.5 and 2.5% each year. Along with the challenges posed by climate change, a number of development opportunities are emerging in response to climate change which includes access to international climate finance. The international response to climate change in the form of external development finance plays a key role to support developing countries in their transition to a low-carbon, climate-resilient and sustainable development pathway. Therefore, this study was conducted to assess the flow and the overall contribution of climate finance to sustainable development in Ethiopia. Specifically, focused on outlining how climate finance is currently reconciled in the existing Ethiopian climate change governance and its contribution to sustainable development. In order to achieve these objectives, data were collected from different sources. The Rio Marker methodology applied to review climate financial flow over the 5 year period. The result reveals that, climate change is central to development agendas despite its recent emergence in the mainstream, with various initiatives under way to combat or reduce its impacts in Ethiopia. In addition, the amount of climate finance from the developed countries to Ethiopia shows some fluctuation for the past five years. In general, the overall flow of climate finance mostly targeted climate adaptation actions which spur and enable the transition towards climate-resilient growth and sustainable development.","change, a number of development opportunities are emerging in response to climate change which includes access to climate finance, technology transfer and capacity building measures. General Objective of the Study: The general objective of the study is to assess the flow and the overall monetary contribution of Methodology of the Study:
 The study deals with the flow and the overall contribution of climate finance to sustainable development in Ethiopia. The methodology of the study combines both qualitative and quantitative approach. A qualitative analysis applied for the policy context and institutional arrangements and a quantitative review conducted for climate finance flow and its contribution to sustainable development. The data sources were, for the quantitative study Organization for Economic Co-operation and Development-Development Assistance Committee (OECD-DAC) data source used and for the qualitative study government and other sources were sited. Methodology of the Study:
 The Rio Marker methodology applied to review climate financial flow over the 5 year period, 2009-2013 to identify the status, trend, source and objectives of climate finance flow to Ethiopia. Methodology of the Study:
 Rio Marker: Since 1998 the DAC Development Assistance Committee has monitored aid targeting the objectives of the Rio Conventions through its Creditor Reporting System (CRS) using the ""Rio Markers"". Rio Marker methodology indicates donors' policy objectives in relation to each aid activity . Activities marked as having a ""principal"" climate change objective would not have been funded but for that objective; activities marked ""significant"" have been formulated or adjusted to meet the objective. Methodology of the Study:
 Climate change mitigation-related aid is defined as activities that contribute to the objective of stabilization of greenhouse gas (GHG) concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system by promoting efforts to reduce or limit GHG emissions or to enhance GHG sequestration . Methodology of the Study:
 Climate change adaptation-related aid is defined as activities that aim to reduce the vulnerability of human or natural systems to the impacts of climate change and climate-related risks, by maintaining or increasing adaptive capacity and resilience. This encompasses a range of activities from information and knowledge generation, to capacity development, planning and the implementation of climate change adaptation actions (OECD, 2011). Methodology of the Study:
 However, there is no internationally agreed methodology for tracking the exact share of aid activity expenditure that contributes to climate change adaptation or mitigation. This is particularly true for adaptation given its intricate linkages with development. Until such a methodology exists, the Rio Markers will allow an approximate quantification of the amount of aid that targets climate change concerns, but not the exact amount of aid specifically directed to helping developing countries mitigate or adapt to climate change. What is Climate Finance?:
 Climate finance refers to financing channeled by national, regional and international entities for climate change mitigation and adaptation projects and programs. They include climate specific support mechanisms and financial aid for mitigation and adaptation activities to spur and enable the transition towards low-carbon, climate-resilient growth and development through capacity building, R&D and economic development . The term has been used in a narrow sense to refer to transfers of public resources from developed to developing countries, in light of their UN Climate Convention obligations to provide ""new and additional financial resources,"" and in a wider sense to refer to all financial flows relating to climate mitigation and adaptation .  ."
"What Enables Effective International Climate Finance in the Context of Development Co-operation?","https://scispace.com/paper/what-enables-effective-international-climate-finance-in-the-4v5vw7wmjm","2016","Report Series","Research Papers in Economics","Sáni Ye Zou
Stephanie Ockenden","10.1787/5JLWJG92N48X-EN","https://scispace.com/pdf/what-enables-effective-international-climate-finance-in-the-4v5vw7wmjm.pdf","In response to on-going discussions on the relationship between international climate finance and development finance, this paper explores what enables effective international climate finance in the context of development co-operation. Through interviews, views were elicited from selected international climate finance stakeholders representing climate finance recipient and provider countries, as well as experts from international organisations and research institutions. Identified enabling conditions reveal common grounds and differences across stakeholder groups. This offers a possible starting point for further dialogue aiming to advance the international climate and development finance agendas in a harmonised manner.","Title: OECD Development Co-operation Working Papers Authors: Oecd,Sáni Ye Zou,Stephanie Ockenden Keywords: climate finance, effectiveness, development co-operation, mainstreaming, national planning"
"Defining and measuring green fdi: an exploratory review of existing work and evidence","https://scispace.com/paper/defining-and-measuring-green-fdi-an-exploratory-review-of-4njjk179o8","2011","Report Series","Research Papers in Economics","Stephen S. Golub
Céline Kauffmann
Philip Yeres","10.1787/5KG58J1CVCVK-EN","https://scispace.com/pdf/defining-and-measuring-green-fdi-an-exploratory-review-of-4njjk179o8.pdf","This paper was developed at the request of the OECD Working Party of the Investment Committee to document efforts to date to define and measure green FDI and to investigate the practicability of various possible definitions, as well as to identify investment policy restrictions to green FDI. It does so by reviewing the literature and existing work on the contributions of FDI to the environment; by providing a two-part definition of green FDI; and by discussing various assumptions necessary to estimate the magnitude of 'green' FDI.","produced by the DAC are based on reporting by donors, according to a standard template which allows countries to specify when environmental sustainability, climate change, biodiversity, or desertification is a principal or a significant objective of aid (in addition to specifying the sector). Official Development Assistance: aid to the environment and Rio markers:
 Statistics on -aid to environment‖ are derived from both policy marker and sectoral data. The environmental sustainability marker allows the donor countries to identify and highlight activities across all sectors that are -intended to produce an improvement in the physical and/or biological environment of the recipient country, area or target group concerned‖ or -include specific action to integrate environmental concerns with a range of development objectives through institution building and/or capacity development‖. -Environment‖ is also identified as a sector of destination by donors. The sector classification includes a -general environmental protection‖ category, which allows distinguishing multisectoral environmental conservation programmes and activities such as environmental policy and administration or environmental education, training and research. Official Development Assistance: aid to the environment and Rio markers:
 A large majority of activities targeting the objectives of the Rio Conventions fall under the DAC definition of -aid to environment‖. Four Rio markers permit their specific identification: biodiversity, climate change mitigation, climate change adaptation, and desertification. Standard definitions and eligibility criteria have been defined for these markers (Table ). The DAC also monitors aid to a number of sectors related to environmental issues, including water and sanitation and renewable energy. Biodiversity-related aid:
 Activities that promote at least one of the three objectives of the Convention on Biological Diversity: the conservation of biodiversity, sustainable use of its components (ecosystems, species or genetic resources), or fair and equitable sharing of the benefits of the utilisation of genetic resources. Biodiversity-related aid:
 In the sectors of water and sanitation, agriculture, forestry, fishing and tourism. Desertification-related aid:
 Activities that combat desertification or mitigate the effects of drought in arid, semi arid and dry sub-humid areas through prevention and/or reduction of land degradation, rehabilitation of partly degraded land, or reclamation of desertified land. Desertification-related aid:
 In the sectors of water and sanitation, agriculture and forestry. Climate change mitigation-related aid:
 Activities that contribute to the objective of stabilisation of greenhouse gas (GHG) concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system by promoting efforts to reduce or limit GHG emissions or to enhance GHG sequestration. Climate change mitigation-related aid:
 in the sectors of water and sanitation, agriculture, forestry, transport, energy and industry. Climate change adaptation-related aid (approved in December 2009):
 Activities that intend to reduce the vulnerability of human or natural systems to the impacts of climate change and climate-related risks, by maintaining or increasing adaptive capacity and resilience. Climate change adaptation-related aid (approved in December 2009):
 In the sectors of water and sanitation, agriculture, forestry, fishing, flood and disaster prevention. Climate change adaptation-related aid (approved in December 2009):
 Source: based on information collected from www.oecd.org/dac/stats/rioconventions"
"From poverty reduction to global challenges, a new horizon for international development cooperation?","https://scispace.com/paper/from-poverty-reduction-to-global-challenges-a-new-horizon-4h1icr6yih","2020","Journal Article","Revista Brasileira De Politica Internacional","Philippe Andre Orliange","10.1590/0034-7329202000202","https://scispace.com/pdf/from-poverty-reduction-to-global-challenges-a-new-horizon-4h1icr6yih.pdf","The adoption of the Sustainable Development Goals, The Paris Agreement on Climate Change and the Addis Ababa Action Agenda laid the foundations of a new system of international development cooperation in which middle income countries are playing an increasingly important role, National Development Banks are becoming key players although broadly consensual regulatory framework are still insufficient.","OECD also produces estimates of what non-OECD countries provide in terms of development cooperation. However, none of these estimates are comparable with the way data on ODA is published, reviewed, monitored, and submitted to peer-review processes every five years. A new IDC system has yet to be established:
 Among the major current challenges, in terms of reporting on public finance for development is leveraging private resources. What can really be attributed to public resources in terms of private resources mobilization? As described in the AAAA, one of the purposes of international public finance, including ODA, is to catalyze additional resources from other sources, both public and private. It can support improved tax collection, help to strengthen domestic enabling environments, and contribute to building essential public services. It can also be used to unlock additional finance through blended or pooled financing and risk mitigation, notably for infrastructure and other investments that support private sector development"" (Addis Ababa action agenda of the third international conference on financing for development 2015, para. 54). However, assessing the leverage effect of IPF raises a number of methodological issues, notably the amount of private finance which is leveraged by public finance. A new IDC system has yet to be established:
 The Addis Ababa Action Agenda did not produce a definition of what ""international public finance"" is. It acknowledged the existence of work on the ""proposed measure of total official support for sustainable development (TOSSD)"" by stressing that such a measurement should not ""dilute commitments already made"" (Addis Ababa action agenda of the third international conference on financing for development, 2015, para. 55). Which institution should/could be tasked with this reporting? OECD has the necessary capabilities but, as shown above, major players such as China and India are unlikely to submit their data to the OECD. Could it be the UN? Certainly from the point of view of political acceptability, but what about the quality of the data? SDGs financing as a result is not adequately measured. A new IDC system has yet to be established:
 Overall, governance is weak. The governance of the 2030 Agenda is far more complex than, for instance, the governance of the MDGs. The same applies to the governance of the NDCs agreed upon under the Paris Agreement. There is no equivalent yet in the post-2015 system to the peer review mechanisms put in place in the OECD. In the case of ODA, DAC is to review and discuss, every five years, the ODA policies, targets and performances of its member countries. The High Level Political Forum established by the UN to review the implementation of the 2030 Agenda falls short of this. Reports are presented to the UN ECOSOC but formats differ, information is not homogenous, reviews are not critical enough, etc. ."
"Fair climate policy in an unequal world: Characterising responsibilities and designing institutions for mitigation and international finance","https://scispace.com/paper/fair-climate-policy-in-an-unequal-world-characterising-495eztzvwg","2013","Dissertation","","Jonathan Pickering","10.25911/5D7786FDA51CB","https://scispace.com/pdf/fair-climate-policy-in-an-unequal-world-characterising-495eztzvwg.pdf","..............................................................................................................................74 2.","as the OECD has sought to capture in a concept of ""Country Programmable Aid"" introduced in 2005: OECD, ""New directions in DAC measurement and monitoring of external development finance"" (Paris: OECD, 2012), 6. Measuring too much?:
 appealing to alternative arguments such as mutual benefit that may convince some undecided voters.  A greater challenge to the current definition arises where the exclusivity criticism collapses into the criticism regarding the spirit of the development objective. That is, there may be cases where a government claims that its self-interested reasons for providing aid are a secondary objective when in fact they constitute the government's primary objective. This concern underlies many criticisms of cases of funding that are currently classed as aid, including scholarships for citizens of developing countries to study in donor countries (where the donor's tertiary education institutions benefit regardless of whether the student returns to their home country) or unsubsidised lending (where donors with low borrowing costs can still make a profit from concessional loans). As we will see in the next section, this concern also arises in the case of aid for climate change mitigation. Measuring too much?:
 I believe there is a valid concern that the current breadth of the definition allows donors to count funding that lacks an appropriate balance of benefits for recipients 59 OECD, ""Is it ODA?"".  A similar justification could apply to excluding funding that ostensibly promotes development but is essentially a bribe aimed at securing votes in an international organisation for a donor's position. Developing countries have consistently argued that climate change finance should be ""new and additional"" to existing aid.  The primary basis for this concern is that if developed countries were to continue to draw on aid budgets to meet their rising climate finance commitments, this would divert a substantial amount of funding that would otherwise flow to existing development priorities. Developed countries have instead preferred an interpretation of additionality that enables them to draw climate finance from aid budgets, provided that levels of climate finance are additional to some baseline, such as previous climate finance or existing aid levels. 68 Measuring too much?:
 63 UNFCCC, Articles 4.3, 4.4.   64 UNFCCC, ""Copenhagen Accord"", Paragraph 8. Measuring too much?:
 65 OECD, ""DAC statistics: Climate-related aid"" (Paris: OECD, 2012).  OECD, ""Statistics"".  This term features in the convention itself as well as in successive political decisions agreed under the convention (UNFCCC, Article 4.3; UNFCCC, ""Copenhagen Accord"", Paragraph 8).  Stadelmann, Roberts, and Michaelowa, ""New and additional to what?"". Measuring too much?:
 The problem of diversion has two aspects. The first is that when new needs emerge donors may not increase their overall aid but will seek instead to meet new needs by spending less on existing needs. The second aspect is that, whether or not the pool of funding grows or remains fixed when new needs arise, addressing new needs may involve targeting funding to less deserving recipients, thus diminishing the overall quality of aid. I discuss each aspect in turn."
"Estimating Mobilised Private Climate Finance","https://scispace.com/paper/estimating-mobilised-private-climate-finance-70lvfdoiay","2015","Report Series","Research Papers in Economics","Raphaël Jachnik
Randy Caruso
Aman Srivastava","10.1787/5JS4X001RQF8-EN","https://scispace.com/pdf/estimating-mobilised-private-climate-finance-70lvfdoiay.pdf","Quantifying the effect of public interventions aimed at mobilising private finance for climate activities is technically complex and challenging. As a step towards addressing this complexity, the report presents a framework of key decision points for estimating publicly mobilised private finance. This framework outlines different methodological options and choices needed to make these estimates. It assesses trade-offs and implications of these choices in terms of their accuracy, the incentives they provide, their potential to be standardised across entities, and their practicality (data availability, expertise and resource demands). The report further identifies and suggests practical options available in the short-term for estimating mobilised private finance, while underlining the need to provide transparency about underlying definitions, assumptions and limitations. It also recommends longer-term actions to improve these methods, including the need to converge on definitions, to build data systems and to improve and standardise estimation methods.
The primary objective of this report is to inform the development of methods to measure in a transparent manner progress towards the fulfilment of the financial commitments made by developed countries in the context of international negotiations under the United Nations Framework Convention on Climate Change. It also aims to encourage careful examination of the links between public interventions and private climate finance. This is to ensure that methods to estimate mobilisation help encourage the efficiency and effectiveness of public interventions aimed at mobilising such finance.","value of estimating mobilisation more broadly than towards assessing progress towards meeting the USD 100 billion commitment. Accurately estimating mobilisation can also help better understanding the drivers of private finance, and thereby more effectively shift investments at scale to LCR activities. Longer-term developments:
  Explore possibilities to link the tracking of LCR-specific finance with the tracking of climate mitigation and adaptation outcomes: As the scaling-up of finance is not an end in itself, making mobilisation more effective requires understanding the mitigation and adaptation outcomes of LCR-specific finance, such as avoided or reduced emissions and increased resilience (as well as co-benefits in other areas). Although a technically challenging task, decision-makers could explore and consider options to link the tracking of LCR-specific finance with the tracking of its outcomes through more integrated Measurement, Reporting and Verification (MRV) frameworks and closer co-ordination with recipient country institutions. ANNEX I. AVAILABILITY OF CROSS-INSTITUTIONAL INFORMATION ON PUBLIC INTERVENTIONS FOR LCR ACTIVITIES:
 The availability of information on public interventions varies depending on whether systematic, crossinstitution/countries or individual institution datasets are being discussed. Individual developed country public institutions usually have information on their public policy and financing interventions. However, this does not imply that these institutions will systematically be aware of and track the LCR relevance of all their interventions. More systematic, cross-institutional climate finance data collection and reporting to date focuses mostly on interventions involving public financing flows, such as the provision of grants, equity, and debt, with limited data on de-risking instruments . In the context of development finance, the OECD Development Assistance Committee (DAC) monitors and reports climate-ODA and increasingly OOF as well. Further joint reporting by a group of Multilateral Development Banks (MDBs) on the one hand, and the International Development Finance Club (IDFC, which consists of a number of bilateral and national development banks) on the other hand also provides relevant data, which however partly overlaps with the OECD DAC statistics. Data on public financing for LCR activities is therefore relatively good and consistent across instruments (except de-risking though work is on-going at the OECD DAC on guarantees) and sectors (despite some remaining definitional issues, especially for adaptation as it is highly context-specific). ANNEX I. AVAILABILITY OF CROSS-INSTITUTIONAL INFORMATION ON PUBLIC INTERVENTIONS FOR LCR ACTIVITIES:
 The breadth of public policy interventions targeting LCR activities makes identifying and characterising the data availability for these interventions in a comprehensive manner a difficult task. However, a number of systematic datasets with particular relevance to LCR activities could be identified. These include cross-country datasets from the OECD and International Energy Agency (IEA) on the existence and characteristics of policies and measures established for renewable energy, energy efficiency, and fossil fuel subsidies. There are also datasets that can help to provide a sense of whether governments are fostering innovation and technology transfer, such as the OECD's Green Growth indicators (one of which focuses on 'green' or environmentally related patents) or public R&D expenditure."
"Financement climatique fourni et mobilisé par les pays développés en 2016-2020","https://scispace.com/paper/financement-climatique-fourni-et-mobilise-par-les-pays-qmvb3yn7","2022","Monograph","","","10.1787/6cbb535f-fr","https://scispace.com/pdf/financement-climatique-fourni-et-mobilise-par-les-pays-qmvb3yn7.pdf","","accrus déployés par les fournisseurs et les bénéficiaires de financement climatique pour rendre compte de manière plus exhaustive des effets du soutien international peuvent grandement contribuer à la réalisation de ces objectifs. Graphique 19. Représentation stylisée de la combinaison de financements publics et privés dans différents contextes et à différents stades de développement:
 Il est important de renforcer la communication d'informations sur l'utilisation, les impacts et les résultats des interventions de financement climatique, et pas seulement pour la redevabilité. Elle peut également aider à identifier les priorités des pays en développement et les défis à relever, ce qui peut à son tour contribuer à mieux cibler le soutien international pour y faire face. Dans l'ensemble, il est de plus en plus admis que l'action internationale doit aller au-delà des résultats directs, et être axée sur le soutien, la facilitation et l'accélération de la transition vers un développement à faibles émissions de gaz à effet de serre et résilient au changement climatique (OCDE/La Banque mondiale/ONU Environnement, 2018 ), ce qui a un impact sur les méthodes d'évaluation des résultats. Les actions requises pour atteindre les objectifs de l'Accord de Paris sont intrinsèquement liées aux plans et processus de développement nationaux globaux des pays. De fait, le Programme d'action d'Addis-Abeba adopté par les Nations Unies souligne que chaque pays est responsable au premier chef de son propre développement économique et social et souligne le rôle des politiques et des stratégies de développement nationales (DAES de l'ONU, 2015 ). Conformément à cette vision, l'intégration des considérations et politiques relatives au changement climatique des pays en développement dans les stratégies, plans et processus de développement est une condition fondamentale et un levier pour une action climatique efficace et propre aux pays (OCDE, 2019 ). Cadre méthodologique:
 Le cadre comptable qui sous-tend l'analyse présentée dans les trois premiers chapitres de ce rapport est cohérent avec celui utilisé pour les précédents rapports de l'OCDE. Il a été mis au point en 2015 pour estimer le financement climatique fourni et mobilisé par les pays développés à l'intention des pays en développement durant la période 2013-14. Il a ensuite servi à l'établissement des rapports (OCDE, 2019 ), (OCDE, 2021 ) et (OCDE, 2021 ), qui étendent respectivement la période étudiée à 2017, 2018 et 2019 respectivement. Par ailleurs, il respecte les décisions prises à la 24 e Conférence des parties à la CCNUCC -adoptées par l'ensemble des pays -eu égard aux modalités de comptabilisation des ressources financières fournies et mobilisées dans le cadre d'interventions publiques."
