doi,title,first_author,year,cited_by_count,teaching_count,teaching_institutions,teaching_levels,teaching_regions,in_corpus
10.3386/w32579,Property Insurance and Disaster Risk: New Evidence from Mortgage Escrow Data,Benjamin J. Keys,2024.0,18.0,1,Harvard FECS,doctoral,Global,True
10.1093/rof/rfac029,Does Money Talk? Divestitures and Corporate Environmental and Social Policies,Nickolay Gantchev,2022.0,130.0,1,Harvard FECS,doctoral,Global,True
10.1111/jacf.12560,Behind schedule: The corporate effort to fulfill climate obligations,Joseph E. Aldy,2023.0,22.0,1,Harvard FECS,doctoral,Global,True
10.1002/smj.3674,Physical climate change exposure and firms' adaptation strategy,Xia Li,2024.0,43.0,1,Harvard FECS,doctoral,Global,True
10.1093/rfs/hhad094,Corporate Climate Risk: Measurements and Responses,Qing Li,2024.0,322.0,1,Harvard FECS,doctoral,Global,True
10.1093/rfs/hhz126,Temperature Shocks and Establishment Sales,Jawad M. Addoum,2019.0,409.0,1,Harvard FECS,doctoral,Global,True
10.1257/aer.20230016,The Social Costs of Keystone Species Collapse: Evidence from the Decline of Vultures in India,Eyal Frank,2024.0,64.0,1,Harvard FECS,doctoral,Global,True
10.1093/rfs/hhad085,Banking on Carbon: Corporate Lending and Cap-and-Trade Policy,Ivan Ivanov,2023.0,146.0,1,Harvard FECS,doctoral,Global,True
10.1093/rfs/hhz079,Corporate Governance and Pollution Externalities of Public and Private Firms*,Sophie Shive,2019.0,317.0,1,Harvard FECS,doctoral,Global,True
10.3386/w32678,The Economics of Biodiversity Loss,Stefano Giglio,2024.0,31.0,1,Harvard FECS,doctoral,Global,True
10.1016/j.jfineco.2022.03.004,Partisan residential sorting on climate change risk,Asaf Bernstein,2022.0,101.0,1,Harvard FECS,doctoral,Global,True
10.1016/j.jfineco.2024.103987,Biodiversity finance,Caroline Flammer,2024.0,65.0,1,Harvard FECS,doctoral,Global,True
10.1093/rfs/hhab037,Get Real! Individuals Prefer More Sustainable Investments,Rob Bauer,2021.0,441.0,1,Harvard FECS,doctoral,Global,True
10.5281/zenodo.18653941,"Green Growth as a Pillar of Viksit Bharat: A Fixed Effects Analysis of Renewable Energy, Finance, and State-Level Development in India",Deepa Bachha Poojari,2026.0,0.0,1,Sciences Po Paris,masters,Europe,True
10.1787/9789264273528-en,"Investing in Climate, Investing in Growth",OECD,2017.0,329.0,1,Sciences Po Paris,masters,Europe,True
10.1093/rfs/hhz073,Does Climate Change Affect Real Estate Prices? Only If You Believe In It,Markus Baldauf,2019.0,649.0,1,Harvard FECS,doctoral,Global,True
10.5281/zenodo.17826003,"The Interaction between Environmental Economics, Climate Finance and Economic Transformation",Prof. Cynthia Amaka Obiorah; Prof. Okeke Gerald Ndubuisi; Engr. Prof. Theophilus Aku Ugah; Pastor Engr. (Dr.) Enoch Oyokunyi; Engr. Dr. Pupu Ogheneteme Okoro (Ph.D.) & Prof Engr. Harriet Chimezie,2025.0,0.0,1,MIT,masters,North America,True
10.1023/b:clim.0000004564.09961.9f,Uncertainty Analysis of Climate Change and Policy Response,Mort Webster,2003.0,284.0,1,MIT,masters,North America,True
10.1596/978-1-4648-2255-1,State and Trends of Carbon Pricing 2025,World Bank,2025.0,,1,Frankfurt School / UNEP Centre,professional,Global,True
10.1093/rof/rfaf050,,,,,1,Harvard FECS,doctoral,Global,False
10.1093/rof/rfaf063,,,,,1,Harvard FECS,doctoral,Global,False
,Warming the World: Economic Models of Global Warming,Nordhaus,2003,,1,MIT,masters,North America,False
,Environmental Economics and Management,Callan,2006,,1,MIT,masters,North America,False
,Climate Future: Averting and Adapting to Climate Change,Pindyck,2022,,1,Stanford GSB,mba,North America,False
