term,mean_tfidf_before,mean_tfidf_after,diff,doc_freq_before,doc_freq_after,clean
new technologies,0.0001819333957216929,0.0011959124289387863,0.0010139790332170935,3,20,True
institutions,0.003423262486705443,0.004435925509228332,0.0010126630225228885,44,97,True
2012 climate,0.000178195092640638,0.00119071800759184,0.0010125229149512021,1,23,True
capture storage,0.00014035623348111474,0.0011448718142942679,0.001004515580813153,1,19,True
livestock,0.00026134134495143363,0.0012646065770798242,0.0010032652321283904,2,20,True
win win,0.0003428763101343147,0.0013450054899917696,0.001002129179857455,4,22,True
residues,8.511232539112088e-05,0.001084128003302051,0.0009990156779109303,1,18,True
www w3,0.0,0.0009982341720451249,0.0009982341720451249,0,11,True
w3 org,0.0,0.0009982341720451249,0.0009982341720451249,0,11,True
w3,0.0,0.0009982341720451249,0.0009982341720451249,0,11,False
xlink,0.0,0.0009982341720451249,0.0009982341720451249,0,11,True
xmlns,0.0,0.0009982341720451249,0.0009982341720451249,0,11,True
solid waste,0.00030739652401240674,0.0013047648957752226,0.0009973683717628158,4,19,True
solar,0.0014018500228895957,0.0023991774529317665,0.0009973274300421708,11,31,True
chemical,0.00035349347137599143,0.0013506252570273723,0.0009971317856513808,4,24,True
mexico,0.000699539568906799,0.0016939868348507553,0.0009944472659439564,9,28,True
14,0.0009240954298611529,0.0019161734665109715,0.0009920780366498186,12,47,False
trend,0.0005483453988364528,0.001538483797651357,0.0009901383988149043,6,28,True
unit,0.0009326270100202801,0.0019224668189172852,0.000989839808897005,11,36,True
nation,0.000588754742054992,0.0015761358291481054,0.0009873810870931134,7,32,True
fundamental,0.0008223755622111985,0.001808500547524236,0.0009861249853130374,11,44,True
landfills,6.214920548729552e-05,0.0010441165724889348,0.0009819673670016394,1,14,True
resilience,0.00012359584778988774,0.0011053411928481683,0.0009817453450582806,2,20,True
lanka,0.00016308797679406584,0.0011435073189895299,0.000980419342195464,2,10,True
sri lanka,0.00016308797679406584,0.0011435073189895299,0.000980419342195464,2,10,True
earth,0.0011913378725799256,0.0021705083380568796,0.000979170465476954,15,45,True
trade,0.006271011644756523,0.007240414725877693,0.0009694030811211694,83,166,True
waste management,0.0008906248327204173,0.0018594519746814547,0.0009688271419610374,9,34,True
dependent,0.0006209095500719384,0.001588808192108728,0.0009678986420367895,8,32,True
sector development,0.0003038339096989802,0.001271179037096659,0.0009673451273976788,3,9,True
techniques,0.0006064643537521805,0.0015703075360480375,0.000963843182295857,9,32,True
create,0.0020667574892011967,0.003028441031154636,0.0009616835419534392,26,68,True
chain,0.0006574697511228864,0.0016166950513676714,0.000959225300244785,7,24,True
analyze,0.0015048336844449691,0.0024627362156323597,0.0009579025311873906,16,56,True
biofuel,0.0007098832197716768,0.001662253535253418,0.0009523703154817412,6,23,True
carbon development,0.0,0.0009497074132824,0.0009497074132824,0,15,True
leading,0.00162043467673419,0.0025683007764929324,0.0009478660997587424,21,64,True
marine,0.00021504187797621177,0.0011590164631563558,0.0009439745851801441,2,14,True
enterprise,0.00029254073067711293,0.0012306674469716994,0.0009381267162945864,3,17,True
registered,0.0006899017411789271,0.0016275758153529592,0.0009376740741740321,8,31,True
thermal,0.0005795607203318159,0.0015152971716741984,0.0009357364513423825,5,27,True
urgently,0.0,0.0009353978952880299,0.0009353978952880299,0,15,True
enterprises,0.0009571581413477341,0.001891243152060225,0.0009340850107124909,8,28,True
available,0.0038444712803161504,0.004777834173484626,0.0009333628931684755,50,122,True
structures,0.0006512834588941502,0.001582214505386251,0.0009309310464921008,7,31,True
http,0.0008764173417765802,0.0018052067452533722,0.000928789403476792,7,23,True
change conference,9.176649794505233e-05,0.0010182445420467488,0.0009264780441016965,1,14,True
13 nthe,0.000408279897341588,0.0013339269166078892,0.0009256470192663012,5,18,True
inadequate,0.00029352202029090323,0.0012181970546794349,0.0009246750343885316,4,24,True
manure,0.0001656914579368716,0.0010903253759977465,0.0009246339180608748,2,15,True
2012,0.003312603430950265,0.00423554087847025,0.000922937447519985,52,104,False
2030,0.00021909686805551793,0.0011407785634103048,0.0009216816953547869,3,20,False
copenhagen climate,0.0,0.0009211137343623587,0.0009211137343623587,0,12,True
currently,0.002738674301130109,0.0036592164332813417,0.0009205421321512326,43,103,True
adaptation mitigation,6.762383145838913e-05,0.0009866420609580969,0.0009190182294997077,1,15,True
unep,0.0002955286941358343,0.0012131029304478687,0.0009175742363120344,2,11,True
regulatory,0.0024681051124428835,0.0033856234948802444,0.0009175183824373608,25,76,True
carbon financial,0.0,0.0009167757337541576,0.0009167757337541576,0,8,True
biochar,0.0,0.0009166461533044847,0.0009166461533044847,0,6,True
price carbon,0.00027732726986639503,0.0011927069949586157,0.0009153797250922207,4,22,True
solid,0.0007199230277841073,0.0016314848071417602,0.0009115617793576529,9,27,True
affected,0.0013106459665762796,0.0022197436254078394,0.0009090976588315598,16,41,True
contribution,0.002802673775610236,0.0037085994520465334,0.0009059256764362973,38,90,True
ja,0.00010933787901459123,0.0010127330219180304,0.0009033951429034392,1,2,False
house,0.0007578388410171476,0.001660739525100068,0.0009029006840829205,8,32,True
adaptation fund,0.00013768646144952736,0.001039928396849746,0.0009022419354002187,1,16,True
percent,0.0015270516694768051,0.002427947260564981,0.0009008955910881757,15,46,True
phenomenon,0.0002018406958659109,0.0011015935773505965,0.0008997528814846856,2,19,True
needs,0.003514964726201842,0.004414248090298896,0.000899283364097054,51,117,True
trading schemes,0.000552917319486955,0.0014500948247969769,0.0008971775053100219,6,24,True
limits,0.0008010476495454631,0.001697269268615713,0.0008962216190702498,10,36,True
diffusion,0.0009377930934792622,0.0018332520895423504,0.0008954589960630881,10,30,True
working,0.001712217731297061,0.0026049388234255563,0.0008927210921284953,19,55,True
facilitate,0.0016099839095113084,0.002502030676970455,0.0008920467674591467,20,60,True
forms,0.0008461431420521995,0.0017369142329400251,0.0008907710908878256,12,32,True
id,0.0,0.0008900030488419714,0.0008900030488419714,0,4,False
progress,0.001433832040801607,0.002323791232916085,0.0008899591921144778,19,47,True
tco2e,0.0,0.0008883071006804057,0.0008883071006804057,0,13,True
sectoral,0.0013883812567280884,0.0022757554297059717,0.0008873741729778833,16,42,True
develop,0.003432869377435517,0.004320050341135914,0.0008871809637003973,52,114,True
application,0.0024105719742440004,0.003296473653238239,0.0008859016789942386,31,76,True
unique,0.0006548814301455454,0.0015358506565821292,0.0008809692264365838,8,31,True
respond,0.0005333398155462877,0.001413200973406681,0.0008798611578603934,5,27,True
poverty,0.0021965630117571516,0.0030711116784084246,0.000874548666651273,27,66,True
malaysia,0.00017523391528499304,0.0010476019657448194,0.0008723680504598263,2,17,True
scheme,0.004029102146842698,0.004898564286605524,0.000869462139762826,46,113,True
responses,0.0011938249810046159,0.002060398317715,0.000866573336710384,14,43,True
shift,0.0006152585635373763,0.001480705541418712,0.0008654469778813358,7,33,True
revenue,0.0010539688175499541,0.0019161765442789367,0.0008622077267289826,14,37,True
mitigation measures,8.426709066066596e-05,0.0009456035394428766,0.0008613364487822106,1,16,True
food security,0.0001301072354236037,0.0009887504697010162,0.0008586432342774124,2,18,True
agency,0.0007618440936805297,0.0016191403810100697,0.00085729628732954,8,28,True
conference copenhagen,9.376635025619316e-05,0.000946434259215453,0.0008526679089592598,1,12,True
fertilization,0.00013713894590158926,0.0009897864493138373,0.0008526475034122481,1,11,True
cdm development,0.0,0.0008514911065452635,0.0008514911065452635,0,10,True
stakeholders,0.002087585527595314,0.0029380524508210554,0.0008504669232257413,25,64,True
combustion,0.0008814178872817018,0.001731450616100167,0.0008500327288184652,11,31,True
eb,0.00022301557690411234,0.0010722541096350301,0.0008492385327309177,2,15,False
improve,0.002999136271385548,0.003847533222209228,0.0008483969508236797,46,107,True
ongoing,0.000687000141550844,0.0015347873840360787,0.0008477872424852347,9,33,True
climate mitigation,0.0003107533854549957,0.0011559786531149152,0.0008452252676599195,3,20,True
planet,0.0002415362382669019,0.0010856918871464231,0.0008441556488795212,3,22,True
networks,0.0008607514804229205,0.0017041216317185014,0.0008433701512955809,10,27,True
zealand,0.00023233245788348587,0.0010757019422965365,0.0008433694844130505,2,15,True
new zealand,0.00023233245788348587,0.0010757019422965365,0.0008433694844130505,2,15,True
deal,0.0012604132220634559,0.00210368894258659,0.0008432757205231343,17,46,True
dos,0.0002571980882630074,0.0010988562842080948,0.0008416581959450874,3,17,True
2050,0.000786020399421501,0.0016275481268909866,0.0008415277274694856,7,34,False
local governments,0.0,0.0008405923921150492,0.0008405923921150492,0,11,True
maximize,0.0,0.0008354121814954927,0.0008354121814954927,0,15,True
location,0.0007480237854161539,0.001581178709246925,0.0008331549238307711,9,30,True
education,0.0007794403553388504,0.0016119683077219838,0.0008325279523831334,11,30,True
integration,0.0010418304541591568,0.0018736021077690062,0.0008317716536098494,17,38,True
electricity,0.004658337301200387,0.005489908177120667,0.0008315708759202801,56,114,True
capital,0.0023768657344031005,0.00320708964406047,0.0008302239096573696,25,74,True
change international,0.0,0.0008298862575501865,0.0008298862575501865,0,13,True
scheme eu,0.0003803745984457391,0.0012087377019019132,0.0008283631034561741,3,23,True
financing,0.0040673666218876605,0.004893912616426481,0.0008265459945388208,45,104,True
areas,0.004752840188066309,0.0055787856985235335,0.000825945510457224,73,159,True
produced,0.001571186440123482,0.002397115228944236,0.000825928788820754,15,56,True
achieve,0.003690678314537221,0.0045152268792406774,0.0008245485647034563,56,130,True
adaptive,0.00045428056427429303,0.001278261314051376,0.000823980749777083,5,22,True
union emissions,0.00012675765847770207,0.0009505811239891611,0.000823823465511459,1,14,True
tackle,0.0004992265151590406,0.0013211461189566172,0.0008219196037975766,5,27,True
cop 15,0.0,0.0008210299989554896,0.0008210299989554896,0,12,True
living,0.0006876239069657548,0.0015085432650028961,0.0008209193580371413,9,33,True
solve,0.0005230752465712891,0.001342446520686693,0.0008193712741154038,7,23,True
school,0.0006570186509449083,0.0014760625022311302,0.0008190438512862218,5,13,True
nuclear,0.0005509712543679265,0.0013684179843992848,0.0008174467300313583,5,20,True
eco,0.000603401717434572,0.0014194045543085712,0.0008160028368739993,7,22,True
wide range,0.00032310251690076137,0.0011384320460210296,0.0008153295291202683,4,22,True
urban,0.0021343985218319245,0.0029488997743069966,0.0008145012524750721,23,47,True
landfill,0.0016030547287819656,0.002416066591700447,0.0008130118629184814,15,31,True
treatment,0.0016905656525177681,0.002503245417002193,0.0008126797644844249,19,44,True
objective,0.003567290128352329,0.004379253621596598,0.0008119634932442685,44,99,True
doi,0.0002696302055982568,0.0010807449834374084,0.0008111147778391515,6,23,True
pursue,0.00011697353100918376,0.0009270824735865249,0.0008101089425773412,1,18,True
development low,0.0,0.0008089895270070077,0.0008089895270070077,0,11,True
para,0.0010334327741599834,0.001842289319795212,0.0008088565456352286,10,29,True
quality,0.002413485738440051,0.0032215224286286166,0.0008080366901885658,32,80,True
situation,0.0029321904016851824,0.0037378799394859074,0.000805689537800725,42,85,True
speed,0.0003132302366345148,0.001117440391489129,0.0008042101548546142,4,20,True
significant,0.004481828249585972,0.005281346991968397,0.0007995187423824254,76,163,True
conducted,0.0016459795425407125,0.0024448024205721446,0.0007988228780314321,21,64,True
carbon governance,0.0,0.000797951069489081,0.000797951069489081,0,6,True
cope,0.0004453036008231311,0.0012388041474979644,0.0007935005466748334,4,25,True
middle,2.3022390412785116e-05,0.0008159622372384274,0.0007929398468256423,1,18,True
presenting,4.2837308095385314e-05,0.0008353175513221231,0.0007924802432267377,1,14,True
paper uses,8.229762115868761e-05,0.00087412185608561,0.0007918242349269224,1,14,True
challenge,0.002725260278435307,0.003515602804864261,0.0007903425264289537,36,87,True
sub,0.0017319749884303934,0.0025215296728958916,0.0007895546844654982,18,55,True
similar,0.0012656340048407201,0.0020551700070474154,0.0007895360022066953,22,50,True
applying,0.00048191622841934825,0.0012701387722198992,0.0007882225438005509,7,30,True
lt gt,0.00017423440980903805,0.0009612595011086459,0.0007870250912996079,1,12,True
wastewater,0.0006560353785226295,0.0014427935784351185,0.000786758199912489,5,17,True
sustainability,0.00334595798052148,0.004132239100733729,0.0007862811202122488,36,80,True
border,0.0003536038866210511,0.0011394218459407368,0.0007858179593196856,5,19,True
west,0.0009137330560374006,0.001697596277306929,0.0007838632212695283,9,26,True
global carbon,0.0013551934419386274,0.0021388964600397116,0.0007837030181010842,15,47,True
market mechanism,0.0002076540398945311,0.0009882583585943694,0.0007806043186998383,3,15,True
co2 emission,0.0009531058908425885,0.0017329417511501787,0.0007798358603075902,9,26,True
ireland,0.00015186015843670427,0.000931550159248841,0.0007796900008121367,1,11,True
